NodeID, Sx
531, -2.942130e+01
532, -7.836457e+01
533, -8.904580e+01
534, -8.098279e+01
535, -6.956919e+01
536, -5.808867e+01
537, -4.671611e+01
538, -3.543203e+01
539, -2.417362e+01
540, -1.292360e+01
541, -1.674086e+00
542, 9.576577e+00
543, 2.082948e+01
544, 3.208628e+01
545, 4.333765e+01
546, 5.457391e+01
547, 6.563446e+01
548, 7.675142e+01
549, 8.726415e+01
550, 9.397185e+01
551, 9.397185e+01
552, 8.726415e+01
553, 7.675142e+01
554, 6.563446e+01
555, 5.457391e+01
556, 4.333765e+01
557, 3.208628e+01
558, 2.082948e+01
559, 9.576577e+00
560, -1.674086e+00
561, -1.292360e+01
562, -2.417362e+01
563, -3.543203e+01
564, -4.671611e+01
565, -5.808867e+01
566, -6.956919e+01
567, -8.098279e+01
568, -8.904580e+01
569, -7.836457e+01
