NodeID, Sy
507, 2.839784e-01
508, 1.103173e+00
509, -1.077877e+01
510, -4.259420e+01
511, -4.259420e+01
512, -1.077877e+01
513, 1.103173e+00
514, 2.839784e-01
515, 3.009324e-01
516, 9.201973e-02
517, 2.869622e-02
518, 3.876898e-03
519, -7.763219e-04
520, 5.930748e-05
521, 4.433807e-03
522, 1.633910e-02
523, 3.366568e-02
524, 4.915065e-02
525, -1.167174e-01
526, -7.061300e-01
527, -2.884269e+00
528, -6.162842e+00
529, -4.709056e+00
530, -9.842003e+00
531, -4.084387e+01
532, -4.148984e+01
533, -9.535947e+00
534, -3.673085e+00
535, -7.992545e-01
536, -7.720975e-02
537, 4.027650e-02
538, 3.763052e-02
539, 1.544127e-02
540, 4.685604e-03
541, -1.860449e-05
542, -6.722483e-04
543, 3.739287e-03
544, 2.903741e-02
545, 9.206937e-02
546, 2.476062e-01
547, 3.240925e-01
548, -5.007431e-01
549, -2.494978e+00
550, -6.136188e+00
551, -6.136188e+00
552, -2.494978e+00
553, -5.007431e-01
554, 3.240925e-01
555, 2.476062e-01
556, 9.206937e-02
557, 2.903741e-02
558, 3.739287e-03
559, -6.722483e-04
560, -1.860452e-05
561, 4.685604e-03
562, 1.544127e-02
563, 3.763052e-02
564, 4.027650e-02
565, -7.720975e-02
566, -7.992545e-01
567, -3.673085e+00
568, -9.535947e+00
569, -4.148984e+01
